"Name","Code","Year","Current Gross Export","Sector"
"Textiles, garments, footwear and furniture","0 HS92","1995","$26.6B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1996","$27.5B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1997","$31.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1998","$32.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1999","$29.7B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2000","$32.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2001","$31.0B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2002","$28.4B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2003","$29.5B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2004","$32.3B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2005","$34.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2006","$36.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2007","$38.2B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2008","$40.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2009","$32.6B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2010","$39.7B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2011","$46.0B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2012","$46.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2013","$46.4B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2014","$48.3B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2015","$47.8B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2016","$45.7B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2017","$47.8B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2018","$52.7B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2019","$46.5B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2020","$37.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2021","$42.1B","Textiles"
"Vegetables, animals, wood and paper","1 HS92","1995","$94.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1996","$96.9B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1997","$93.1B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1998","$85.7B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1999","$83.8B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2000","$87.0B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2001","$84.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2002","$82.3B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2003","$89.0B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2004","$92.5B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2005","$97.4B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2006","$108B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2007","$130B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2008","$158B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2009","$132B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2010","$156B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2011","$181B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2012","$185B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2013","$189B","Agriculture"
