"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,295451224,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,90975122,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,4503295,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,12294121,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,127076020,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,40095215,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,1487725890,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,1181717394,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,779175552,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,10663202,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,82663910,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,743713138,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,1913665340,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,19987274,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,11539033,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,92328450,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,45333592,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,276743767,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,1427259280,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,504381676,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,141902739,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,547968418,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,302628413,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,23642467,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,315152238,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,19125766,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,110752346,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,95162495,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,116024699,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,109460313,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,49056230,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,15531369,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,14008648,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1743191,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,2644349,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,1269391,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,93933381,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,47134109,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,26455519,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,3665837,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,49007271,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,3039982,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,20582291,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,235064446,1995
