"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,297627298,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,89905970,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,4461323,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,12189051,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,126854494,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,40033668,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,1475204036,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,1176614440,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,778097562,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,10551158,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,82181267,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,735001648,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,1921249379,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,19887218,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,11357249,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,89236955,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,45260539,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,276646102,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,1417692796,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,503177792,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,141364118,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,543871473,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,301485767,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,23332179,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,313089195,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,18932547,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,108122622,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,94664084,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,115724786,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,107808297,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,48765944,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,15462831,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,13905852,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1748282,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,2629771,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,1259606,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,93363989,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,47044692,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,24927424,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,3599922,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,48941758.99999999,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,3030859,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,20489277,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,239167832,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,11292224,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,104747507,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,49188573,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,113761735,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,78415390,1995
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,107311773,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,126020928,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,217729902,1995
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,167113632,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,50526741,1995
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,18415279,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,29837080,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,307289708,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,166741734,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,8280208,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,144684095,1995
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,382479182,1995
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,11058911,1995
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,14916331,1995
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,1132725130,1995
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,202445662.00000003,1995
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,75652641,1995
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,819075257,1995
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,530026982,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,113296406.00000001,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,511810884,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,261963174,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,155661482,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,82496925,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,11293764,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,196200120,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,5337853,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,296722509,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,22971303,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,145417,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,22491684,1995
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,4658247,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,2332749,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,198112,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1842536,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,1188703,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,19310259,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,5896609735,1995
"Cereals",210,"Rye",21002,"Vegetable Products",2,1388114.0000000002,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,204421668,1995
"Cereals",210,"Oats",21004,"Vegetable Products",2,6991431,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,7906103940,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,1088053854,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,662427704,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,40907048,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,263621272,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,51449269,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,65408145,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,138505104,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,54696460,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,14316880,1995
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,63870229,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,68594381,1995
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,6850494,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,5716665723,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,266651773,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,662616,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,1140339,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,26503188,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,158713946,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,78890868,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,108199421,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,375935240,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,62146883,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,131593525,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,24779702,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,5051001.000000001,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,371624809,1995
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,27323078,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,213583604,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,1056474,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Stuffing Materials",21402,"Vegetable Products",2,170804,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,1513006,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,56522444,1995
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,103338947,1995
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,682086237,1995
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,8194163,1995
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,50652806,1995
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,10535203,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,9542033,1995
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,708455268,1995
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,54990912,1995
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,6960336,1995
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,1924442,1995
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,22514962,1995
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,474966910,1995
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,11881042,1995
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,51297734,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,327111394,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,78875067,1995
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,66673445,1995
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,60062937,1995
"Animal or vegetable fats, oils, & waxes",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,157904002,1995
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,28161259,1995
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,8166433,1995
"Animal or vegetable fats, oils, & waxes",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,14301586,1995
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,137156746,1995
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,309208241,1995
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,9063128,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,276083370,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,80556920,1995
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,166930816,1995
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,178306044,1995
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,27044382,1995
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,225613887,1995
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,11685502,1995
"Cocoa & cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,1350197,1995
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,16748959,1995
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,33852893,1995
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,14935121,1995
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,334117975,1995
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,319316446,1995
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,93536532,1995
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,1109618,1995
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,185228028,1995
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,456519337,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,28785401,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Tomatoes",42002,"Foodstuffs",4,100641609,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,2887465,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,329742974,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,422010082,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,6003910,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Jams",42007,"Foodstuffs",4,48764919,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,329985360,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Fruit Juice",42009,"Foodstuffs",4,739428163,1995
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,77029194,1995
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,29317961,1995
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,340628102,1995
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,166591340,1995
"Miscellaneous edible preparations",421,"Ice Cream",42105,"Foodstuffs",4,94019692,1995
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,1312875913,1995
"Beverages, spirits, & vinegar",422,"Water",42201,"Foodstuffs",4,18789874,1995
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,348602392,1995
"Beverages, spirits, & vinegar",422,"Beer",42203,"Foodstuffs",4,436733431,1995
"Beverages, spirits, & vinegar",422,"Wine",42204,"Foodstuffs",4,232941789,1995
"Beverages, spirits, & vinegar",422,"Vermouth",42205,"Foodstuffs",4,2447030,1995
"Beverages, spirits, & vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,18767821,1995
"Beverages, spirits, & vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,384271293,1995
"Beverages, spirits, & vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,455792237,1995
"Beverages, spirits, & vinegar",422,"Vinegar",42209,"Foodstuffs",4,6832843,1995
"Food residues & wastes; animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,141307524,1995
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,85604236,1995
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,1193943471,1995
