"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,133872523,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,1428258291,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,142585230,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,5464239,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,18189467,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,55793842,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,382193221,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,861187431,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,483805049,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,91871599,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,4890790,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,38511518,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,7789675,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,16284000,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,934007,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,67271315,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,69150906,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,607533610,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,430717570,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,1227806732,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,144556201,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,2944955712,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,412122214,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,8326450,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,22771020,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,2672807,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,22951093,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,4772273,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,575511025,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,19274911,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,1556727,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,52146415,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,2717023,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1427720,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,8353372.000000001,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,3503885,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,73672631,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,127024836,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,6757096,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,7308631,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,5238838,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,1671742,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,3621686,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,74478207,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,163437579,1995
