"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,134512059,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,1423217068,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,141590227,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,5416735,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,18148589,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,55702476,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,381402668,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,857946845,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,480036705,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,91266274,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,4890707,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,38434875,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,7742483,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,16211159,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,925807,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,66945259,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,68158990,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,603332068,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,414869800,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,1217207082,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,144000920,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,2901082263,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,407962330,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,8300305,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,22514504,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,2667182,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,21947997,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,4803314,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,571222868,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,19054556,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,1519804,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,51625705,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,2663049,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1418107,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,8337130,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,3463218,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,73647319,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,125510294,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,6510627,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,7145067,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,4967422,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,1654274,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,3652901,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,71079816,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,162210064,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,130550540.99999999,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,595473345,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,56103403.00000001,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,59810431,1995
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,580825503,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,183011960.00000003,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,51062999,1995
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,34483057,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,53999411,1995
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,145377424,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,27650155.999999996,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,600672609,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,229538217,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,18607661,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,74410249,1995
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,82911894,1995
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,69510801,1995
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,287471198,1995
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,131424565,1995
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,1109188079,1995
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,204984347,1995
